,PlanetIdentifier,TypeFlag,PlanetaryMassJpt,RadiusJpt,PeriodDays,SemiMajorAxisAU,Eccentricity,PeriastronDeg,LongitudeDeg,AscendingNodeDeg,InclinationDeg,SurfaceTempK,AgeGyr,DiscoveryMethod,DiscoveryYear,LastUpdated,RightAscension,Declination,DistFromSunParsec,HostStarMassSlrMass,HostStarRadiusSlrRad,HostStarMetallicity,HostStarTempK,HostStarAgeGyr,ListsPlanetIsOn,RA,DEC,DistFromEarthParsec
1589,Kepler-246 b,0,,0.21324,4.60182,,,,,,,,,transit,2014.0,14/02/26,19 45 56,+42 39 48,768.87,0.759,0.831,,5206.0,,Confirmed planets,296.48333333333335,639.95,768.8700011137489
1590,Kepler-41 b,0,0.56,1.04,1.8555582,0.031010000000000003,0.0,,,,82.51,,,RV,2011.0,15/12/03,19 38 03,+48 58 54,771.43,1.12,1.02,0.29,5620.0,4.4,Confirmed planets,294.5125,734.725,771.4300031097997
1591,Kepler-280 b,0,,0.13214,2.1395419999999996,,,,,,,,,transit,2014.0,14/02/26,19 25 33,+42 10 50,771.8,0.9570000000000001,0.8859999999999999,,5744.0,,Confirmed planets,291.3875,632.7083333333334,771.8000010919789
1592,Kepler-280 c,0,,0.18317,4.807091000000001,,,,,,,,,transit,2014.0,14/02/26,19 25 33,+42 10 50,771.8,0.9570000000000001,0.8859999999999999,,5744.0,,Confirmed planets,291.3875,632.7083333333334,771.8000010919789
1593,Kepler-28 b,0,,0.32806906,5.91,0.062,,,,,,680.0,,transit,2012.0,12/01/26,19 28 32,+42 25 45,772.8,0.75,0.7,0.34,4590.0,,Confirmed planets,292.1333333333333,636.4375,772.800001268947
1594,Kepler-28 c,0,,0.30984,8.98,0.081,,,,,,595.0,,transit,2012.0,12/08/06,19 28 32,+42 25 45,772.8,0.75,0.7,0.34,4590.0,,Confirmed planets,292.1333333333333,636.4375,772.800001268947
1595,Kepler-306 c,0,,0.21416,7.240193,,,,,,,,,transit,2014.0,14/02/26,19 14 09,+40 36 58,772.83,0.93,0.7190000000000001,,4954.0,,Confirmed planets,288.5375,609.2416666666667,772.830004169804
1596,Kepler-306 d,0,,0.22509,17.326644,,,,,,,,,transit,2014.0,14/02/26,19 14 09,+40 36 58,772.83,0.93,0.7190000000000001,,4954.0,,Confirmed planets,288.5375,609.2416666666667,772.830004169804
1597,Kepler-306 e,0,,0.20686999999999997,44.840975,,,,,,,,,transit,2014.0,14/02/26,19 14 09,+40 36 58,772.83,0.93,0.7190000000000001,,4954.0,,Confirmed planets,288.5375,609.2416666666667,772.830004169804
1598,Kepler-306 b,0,,0.13852,4.646186,,,,,,,,,transit,2014.0,14/02/26,19 14 09,+40 36 58,772.83,0.93,0.7190000000000001,,4954.0,,Confirmed planets,288.5375,609.2416666666667,772.830004169804
1599,Kepler-224 e,0,,0.17953,18.643577,,,,,,,,,transit,2014.0,14/02/26,19 23 44,+47 21 27,773.13,0.825,0.6759999999999999,,5018.0,,Confirmed planets,290.93333333333334,710.3625,773.1299985053635
1600,Kepler-224 d,0,,0.2096,11.349393,,,,,,,,,transit,2014.0,14/02/26,19 23 44,+47 21 27,773.13,0.825,0.6759999999999999,,5018.0,,Confirmed planets,290.93333333333334,710.3625,773.1299985053635
1601,Kepler-224 c,0,,0.28433,5.925003,,,,,,,,,transit,2014.0,14/02/26,19 23 44,+47 21 27,773.13,0.825,0.6759999999999999,,5018.0,,Confirmed planets,290.93333333333334,710.3625,773.1299985053635
1602,Kepler-224 b,0,,0.12667,3.132924,,,,,,,,,transit,2014.0,14/02/26,19 23 44,+47 21 27,773.13,0.825,0.6759999999999999,,5018.0,,Confirmed planets,290.93333333333334,710.3625,773.1299985053635
1603,Kepler-162 b,0,,0.11482,6.919797999999999,,,,,,,,,transit,2014.0,14/02/26,19 49 06,+43 43 26,773.85,0.953,0.958,,5816.0,,Confirmed planets,297.275,655.8583333333333,773.8500013828689
1604,Kepler-162 c,0,,0.27612,19.446355,,,,,,,,,transit,2014.0,14/02/26,19 49 06,+43 43 26,773.85,0.953,0.958,,5816.0,,Confirmed planets,297.275,655.8583333333333,773.8500013828689
1605,HATS-16 b,0,3.27,1.3,2.686502,0.03744,,,,,83.53,,,transit,2015.0,15/11/26,23 54 14.04,-30 00 46.8,774.0,0.97,1.238,0.1,5738.0,9.5,Confirmed planets,358.5585,-30.13,774.0000012457655
1606,Kepler-401 c,0,,0.19593,47.318218,,,,,,,,,transit,2014.0,14/02/26,19 20 19,+50 51 48,774.02,,1.3330000000000002,,6117.0,,Confirmed planets,290.07916666666665,762.95,774.0199978452505
1607,Kepler-401 d,0,,0.203,184.256405,,,,,,,,,transit,2016.0,16/05/10,19 20 19,+50 51 48,774.02,,1.3330000000000002,,6117.0,,Confirmed planets,290.07916666666665,762.95,774.0199978452505
1608,Kepler-401 b,0,,0.15583,14.383035000000001,,,,,,,,,transit,2014.0,14/02/26,19 20 19,+50 51 48,774.02,,1.3330000000000002,,6117.0,,Confirmed planets,290.07916666666665,762.95,774.0199978452505
1609,Kepler-443 b,0,,0.20800000000000002,177.6693,0.495,,,,,89.94,,,transit,2015.0,15/01/28,19 14 26.53,+49 58 07.1,779.0,0.738,0.706,-0.01,4723.0,3.2,Confirmed planets,288.6105416666667,749.5295833333333,778.9999988610614
1610,HATS-19 b,0,0.42700000000000005,1.66,4.569673000000001,0.0589,0.3,44.0,,,86.6,,,transit,2016.0,16/07/11,09 49 38,-33 46 53,780.0,1.3030000000000002,1.74,0.24,5896.0,3.94,Confirmed planets,147.40833333333333,-33.91388888888889,780.0000037608892
1611,Kepler-87 c,0,0.020132,0.5595399999999999,192.363,0.664,0.039,,,,,403.3,,transit,2013.0,13/10/10,19 51 40,+46 57 54,781.83,1.1,1.82,-0.17,5600.0,7.5,Confirmed planets,297.9166666666667,704.475,781.8299969712342
1612,Kepler-87 b,0,1.02,1.2,114.7309,0.47100000000000003,0.036000000000000004,,,,,478.1,,transit,2013.0,15/12/03,19 51 40,+46 57 54,781.83,1.1,1.82,-0.17,5600.0,7.5,Confirmed planets,297.9166666666667,704.475,781.8299969712342
1613,Kepler-376 c,0,,0.16312000000000001,14.172327,,,,,,,,,transit,2014.0,14/02/26,19 26 25,+38 24 37,785.94,1.14,1.175,,5900.0,,Confirmed planets,291.6041666666667,576.1541666666667,785.9400013203116
1614,Kepler-376 b,0,,0.09751,4.920199,,,,,,,,,transit,2014.0,14/02/26,19 26 25,+38 24 37,785.94,1.14,1.175,,5900.0,,Confirmed planets,291.6041666666667,576.1541666666667,785.9400013203116
1615,Kepler-393 c,0,,0.1212,14.613612,,,,,,,,,transit,2014.0,14/02/26,19 23 58,+45 11 31,788.49,1.38,1.382,,6189.0,,Confirmed planets,290.9916666666667,677.8791666666667,788.4899985811777
1616,Kepler-393 b,0,,0.11756,9.182417,,,,,,,,,transit,2014.0,14/02/26,19 23 58,+45 11 31,788.49,1.38,1.382,,6189.0,,Confirmed planets,290.9916666666667,677.8791666666667,788.4899985811777
1617,Kepler-163 c,0,,0.20595,21.347262,,,,,,,,,transit,2014.0,14/02/26,19 40 00,+46 59 14,788.98,0.96,0.917,,5776.0,,Confirmed planets,295.0,704.8083333333333,788.9800021290483
1618,Kepler-163 b,0,,0.09569,7.810936999999999,,,,,,,,,transit,2014.0,14/02/26,19 40 00,+46 59 14,788.98,0.96,0.917,,5776.0,,Confirmed planets,295.0,704.8083333333333,788.9800021290483
1619,Kepler-336 b,0,,0.09295,2.024823,,,,,,,,,transit,2014.0,14/02/26,19 20 57,+41 19 52,794.61,1.057,1.304,,5867.0,,Confirmed planets,290.2375,619.9666666666667,794.6099991847659
1620,Kepler-336 c,0,,0.19137,9.600000999999999,,,,,,,,,transit,2014.0,14/02/26,19 20 57,+41 19 52,794.61,1.057,1.304,,5867.0,,Confirmed planets,290.2375,619.9666666666667,794.6099991847659
1621,Kepler-336 d,0,,0.21598,20.678772,,,,,,,,,transit,2014.0,14/02/26,19 20 57,+41 19 52,794.61,1.057,1.304,,5867.0,,Confirmed planets,290.2375,619.9666666666667,794.6099991847659
1622,CoRoT-19 b,0,1.11,1.45,3.89713,0.0518,0.047,,,,87.61,1515.3,,transit,2011.0,11/07/05,06 28 08,-00 10 15,800.0,1.21,1.65,-0.02,6090.0,,Confirmed planets,97.03333333333333,-0.20833333333333331,799.9999955541687
1623,Kepler-17 b,0,2.47,1.33,1.4857108,0.025910000000000002,0.011000000000000001,,,,87.2,1622.7,,transit,2011.0,15/12/03,19 53 35,+47 48 54,800.0,1.16,1.05,0.26,5781.0,,Confirmed planets,298.3958333333333,717.225,799.9999971523573
1624,Kepler-203 d,0,,0.13122999999999999,11.32972,,,,,,,,,transit,2014.0,14/02/26,19 48 21,+41 23 16,800.07,1.01,1.114,,5821.0,,Confirmed planets,297.0875,620.8166666666667,800.0699996563602
1625,Kepler-203 c,0,,0.22509,5.370647,,,,,,,,,transit,2014.0,14/02/26,19 48 21,+41 23 16,800.07,1.01,1.114,,5821.0,,Confirmed planets,297.0875,620.8166666666667,800.0699996563602
